GeneSet	DESC	GeneSet,Genes
ACRV1	ACRV1	ACRV1,SP9,ACVR1,LIPN,SP6,SP8,SYCP3,LRP5,PCSK5,TEX101,DPM1
ACSBG1	ACSBG1	ACSBG1,FASN,SLC27A2,ABCD2,PPT1,PPT2,ABCD4,MGLL,ABCD3,LPL,ACSL3
ACSBG2	ACSBG2	ACSBG2,FASN,PPT1,PPT2,LPL,MGLL,CPT1A,ACSL3,ACSL5,CPT1B,ACSL1
ACSF2	ACSF2	ACSF2,MRPL21,MRPL3,MRPL13,MRPL47,MRPL43,MRPL46,MRPL24,MRPL11,MRPL17,DAP3
ACSF3	ACSF3	ACSF3,FASN,MLYCD,MCEE,MCAT,ALDH9A1,ALDH2,ALDH1B1,ACACA,ALDH3A2,ALDH7A1
ACSL1	ACSL1	ACSL1,FASN,CPT1A,AASDH,LPL,SLC27A2,MGLL,ACADL,SLC27A6,ACSL3,PPT1
ACSL3	ACSL3	ACSL3,FASN,CPT1A,LPL,AASDH,DGAT1,MGLL,ACSL1,PPT2,PPT1,ACOX1
ACSL5	ACSL5	ACSL5,CPT1A,FASN,AASDH,LPL,MGLL,PPT1,PPT2,DGAT1,DGAT2,CPT1C
ACSL6	ACSL6	ACSL6,FASN,CPT1A,LPL,PPT2,PPT1,MGLL,DGAT1,AASDH,CPT1C,ACSBG1
ACSM1	ACSM1	ACSM1,LIPT1,ACADS,SLC22A16,GBP5,HSDL2,CS,APBA3,ACSF2,AASDH,RNF32
